"countrycode","year","timeperiod","logprivatecredit","inflation","logtrade","logschooling","growthingini","growthgdppercapita","loginitialgini","span","loginitialgdppercapita","growthlowestincomeshare","loginitiallowestincomeshare"
"GBR",1996,8,0.179818600416183,2.46077704429626,4.04202508926392,2.24283504486084,0.0176138002425432,0.025483500212431,3.44998788833618,5,9.90679454803467,-0.00703650014474988,2.05540990829468
"GHA",1987,1,-3.28126096725464,27.2094497680664,3.77041888237,1.286749958992,-0.00837660022079945,0.0141033995896578,3.56529808044434,5,7.03104019165039,0.0250495001673698,1.94161999225616
"GHA",1992,2,-3.02990889549255,29.2295703887939,4.14765787124634,1.32282197475433,-0.00720799993723631,-2.37000003835419e-05,3.52341508865356,5,7.1015567779541,0.0122737996280193,2.06685996055603
"GMB",1992,1,-2.26824998855591,4.1825590133667,4.75145483016968,0.666803181171417,0.00816490035504103,-0.020550299435854,3.86702609062195,6,7.07491779327393,-0.0158849991858006,1.48160994052887
"GRC",1974,1,-1.24037504196167,17.6100997924805,3.76714301109314,1.77681505680084,-0.00760409981012344,0.0214175991714001,3.55848598480225,7,9.20191860198975,0.00823989976197481,1.85629999637604
"GRC",1981,2,-0.947306513786316,20.1496200561523,3.87799692153931,1.98320603370666,0.00792929995805025,0.00188989995513111,3.50525689125061,7,9.35184192657471,-0.0130059998482466,1.91398000717163
"GRC",1988,3,-1.11722695827484,16.8141002655029,3.80435395240784,2.07906699180603,-0.015289899893105,0.00501899980008602,3.56076192855835,5,9.3650712966919,0.0383936017751694,1.82293999195099
"GRC",1993,4,-1.14125502109528,9.13695240020752,3.78532910346985,2.11890196800232,0.0181677006185055,0.0257245991379023,3.48431205749512,5,9.39016628265381,-0.0446286983788013,2.01489996910095
"GTM",1979,1,-1.81186497211456,12.3381900787354,3.56448197364807,1.00210094451904,0.0198135003447533,-0.0148267997428775,3.90640711784363,8,8.27198696136475,-0.0934017971158028,1.74047005176544
"GTM",1987,2,-1.90814602375031,14.5403900146484,3.73751902580261,1.11185801029205,-0.0166682992130518,0.00836419966071844,4.06491613388062,11,8.1533727645874,0.0401666015386581,0.993250012397766
"GUY",1993,1,-0.878762722015381,9.21912288665772,5.38129806518555,1.79225897789001,0.0157267991453409,0.0786058977246284,3.69436407089233,6,7.72069787979126,-0.0552831999957562,1.8357800245285
"HKG",1971,1,1.79769313486232e+308,9.17355632781982,5.11948108673096,1.9108749628067,0,0.0572512000799179,3.71112990379334,5,8.85072040557861,-0.0145519003272057,1.74047005176544
"HKG",1976,2,1.79769313486232e+308,10.4302101135254,5.15940713882446,2.07266902923584,0.019904900342226,0.0743974968791008,3.71112990379334,5,9.13697624206543,-0.027462400496006,1.66770994663239
"HKG",1981,3,1.79769313486232e+308,7.19324111938476,5.27786922454834,2.12716007232666,-0.0145968999713659,0.0411598011851311,3.81065392494202,5,9.5089635848999,0.062348198145628,1.5304000377655
"HKG",1986,4,0.357791513204575,8.84937000274658,5.50171613693237,2.21408200263977,0.0137986000627279,0.055714800953865,3.73766994476318,5,9.7147626876831,-0.0509887002408504,1.84213995933533
"HKG",1991,5,0.320023000240326,7.09416580200195,5.61626195907593,2.22839999198914,0.0265951007604599,0.0344555005431175,3.80666303634644,5,9.99333667755127,-0.0557718984782696,1.58719003200531
"HND",1968,1,-1.3089120388031,6.19296407699585,4.17401123046875,0.79840761423111,-0.00660859979689121,0.00939670018851757,4.12519693374634,18,7.54749011993408,0.0385081991553307,0.469999998807907
"HND",1986,2,-1.15945100784302,11.254469871521,4.11124420166016,1.43627405166626,-0.018843699246645,-0.00837299972772598,4.00624179840088,5,7.71663093566894,0.0251477006822824,1.16314995288849
"HND",1991,3,-1.40780198574066,20.9053401947022,4.39203977584839,1.50429999828339,0.0143525004386902,-0.00341899995692074,3.91202306747436,5,7.67476606369018,-0.0124353999271989,1.28889000415802
"HUN",1972,1,1.79769313486232e+308,2.00852489471436,4.38974285125732,2.07969093322754,-0.0113698001950979,0.0469476990401745,3.12676000595093,5,8.71391677856445,0.0175873003900051,2.29254007339478
"HUN",1977,2,1.79769313486232e+308,4.80434894561768,4.41026020050049,2.204421043396,-0.0053638000972569,0.0254718996584415,3.06991195678711,5,8.948655128479,0.00851199962198734,2.38047003746033
"HUN",1982,3,-1.5218859910965,5.81741285324097,4.3650541305542,2.18941593170166,0.0282383002340794,0.0215987991541624,3.04309296607971,5,9.07601547241211,-0.0143312001600862,2.42302989959717
"HUN",1987,4,-0.922952115535736,21.2401905059814,4.19884395599365,2.18952798843384,-0.0103933000937104,-0.0244009997695684,3.1842839717865,6,9.18400859832764,0.00120950001291931,2.35138010978699
"HUN",1993,5,-1.44663798809052,19.9689998626709,4.51026821136475,2.17770195007324,0.0217760000377893,0.0238012000918388,3.12192392349243,5,9.03760242462158,-0.0169498007744551,2.35862994194031
"IDN",1964,1,1.79769313486232e+308,290.838287353516,3.20765900611877,0.604315996170044,-0.013549099676311,0.0268881004303694,3.5055570602417,6,6.83021306991577,0.0156821999698877,1.99487996101379
"IDN",1970,2,1.79769313486232e+308,19.9211597442627,3.66773295402527,1.0532660484314,0.0199318006634712,0.0502829998731613,3.42426300048828,6,6.99154090881348,-0.00158919999375939,2.08897995948792
"IDN",1976,3,-2.42818999290466,18.8621292114258,3.88936805725098,1.29937398433685,-0.00509320013225079,0.0635965019464493,3.5438539981842,5,7.2932391166687,-0.00712540000677109,2.07944011688232
"IDN",1981,4,-1.95494294166565,8.34666347503662,3.86297607421875,1.38654398918152,-0.00872320029884577,0.0295378994196653,3.51838803291321,6,7.61122179031372,0.00572940008714795,2.04380989074707
"IDN",1987,5,-1.08823502063751,9.85319995880127,3.88075590133667,1.38804304599762,-0.00167449994478375,0.0541642010211945,3.46604800224304,6,7.78844881057739,0.0138050997629762,2.07819008827209
"IDN",1993,6,-0.745291590690613,19.6024494171143,4.1032280921936,1.51468801498413,-0.000949400011450052,0.00924030039459467,3.4560010433197,6,8.11343479156494,0.00529150012880564,2.16102004051208
"IND",1959,1,-2.41127300262451,1.79769313486232e+308,1.79769313486232e+308,0.521171927452087,-0.033108301460743,0.0351222008466721,3.60114002227783,5,6.69364595413208,0.026706300675869,2.04121994972229
"IND",1964,2,-2.33729600906372,7.11552286148071,2.27806997299194,0.659590423107147,0.00268719997256994,0.0224916990846396,3.43559908866882,5,6.8692569732666,-0.0045978999696672,2.17475008964539
"IND",1969,3,-1.98262000083923,7.30491495132446,2.32381892204285,0.817574799060822,0.00263329991139472,0.00731649994850159,3.44903492927551,8,6.98171615600586,-0.00146199995651841,2.15176010131836
