"country","year","logagedependency","countrycode","loginitialheadcount","loginitialpovertygap","growthinheadcount","growthinpovertygap","timespan","loginitialgini","growthinmeanincome","growthingdppercapita","logprivatecredit","logcommercialcentralbank","inflation","populationgrowth","logtrade","logschooling"
"South Africa",1993,-0.403537809848785,"ZAF",2.30458307266235,0.350656807422638,0.00951350014656782,0.0290325991809368,7,4.0831151008606,-0.00884249992668629,0.00470559997484088,-0.293695509433746,-0.04619450122118,9.09016132354736,2.27081608772278,3.84509611129761,1.79691302776337
"Sri Lanka",1985,-0.442655712366104,"LKA",2.23964500427246,0.518793821334839,-0.0288497004657984,-0.0558574981987476,17,3.48031711578369,0.0171757992357016,0.0246762000024319,-1.80788004398346,-0.460288107395172,9.25104904174805,1.09635603427887,4.29607677459717,1.77070605754852
"Thailand",1981,-0.320471912622452,"THA",3.07454299926758,1.68639898300171,-0.151424005627632,-0.222958594560623,21,3.81153893470764,0.023556400090456,0.0442979000508785,-0.435116201639175,-0.138014599680901,3.94165706634522,1.36661100387573,4.36763000488281,1.64461195468903
"Trinidad and Tobago",1988,-0.416321694850922,"TTO",0.81093019247055,-1.60943794250488,0.140696406364441,0.399846911430359,4,3.75185394287109,-0.0668229013681412,0.00534030003473163,-1.09277200698853,-0.0811790004372597,6.95309209823608,0.572261929512024,4.31249380111694,1.969486951828
"Tunisia",1985,-0.239699006080627,"TUN",0.512823581695557,-1.07880997657776,-0.110150501132011,-0.10536339879036,15,3.7711501121521,0.0173450000584126,0.0230212993919849,-0.502746999263763,-0.0636496022343636,4.89874601364136,1.91239595413208,4.44912719726562,1.20686900615692
"Turkey",1987,-0.345070511102676,"TUR",0.398776113986969,-1.02165102958679,0.0469871982932091,0.0483243986964226,16,3.77436900138855,-0.00178329995833337,0.013888300396502,-2.14144992828369,-0.302255511283874,63.6852989196777,1.8717600107193,3.80073499679565,1.42190301418304
"Uganda",1989,0.0472976006567478,"UGA",3.66791105270386,2.7080500125885,-0.0365361012518406,-0.0633857995271683,13,3.7923378944397,0.0242251008749008,0.0327399000525475,-3.37649297714233,-0.746345281600952,21.3574409484863,3.23368811607361,3.46810007095337,1.18448400497437
"Uruguay",1981,-0.512746512889862,"URY",-0.0943105965852737,-0.6931471824646,-0.0563021004199982,-0.048207800835371,8,3.776202917099,0.00025479999021627,-0.0127327004447579,-1.11296403408051,-0.450892597436905,58.2297592163086,0.635836482048035,3.74105906486511,1.92934501171112
"Venezuela, RB",1981,-0.25985649228096,"VEN",2.01756596565247,0.378436505794525,0.00868989992886782,0.0323586985468864,19,4.02213191986084,-0.0259156990796328,-0.00960789993405342,-1.23691296577454,-0.140958204865456,33.0554389953613,2.38407897949219,3.88505411148071,1.60100197792053
"Vietnam",1993,-0.285126686096191,"VNM",2.68307399749756,0.936093270778656,-0.213067397475243,-0.330701589584351,9,3.57458996772766,0.0448944009840488,1.79769313486232e+308,-1.3043270111084,-0.26792100071907,9.05703639984131,1.53354895114899,4.54950714111328,1.79769313486232e+308
"Yemen, Rep.",1992,0.133713200688362,"YEM",1.26694798469543,0.104359999299049,0.176070004701614,0.121424801647663,6,3.6750340461731,-0.094294898211956,0.00248469994403422,-3.06488990783691,-0.813738286495209,21.5430793762207,4.09581613540649,4.49725389480591,1.79769313486232e+308
"Zambia",1991,-0.0335557013750076,"ZMB",4.16883277893066,3.66125106811523,0.0152310999110341,-0.00628709979355335,11,4.09517812728882,-0.0302355997264385,-0.0098622003570199,-2.76536202430725,-0.736473083496094,55.7690887451172,2.34716105461121,4.20670413970947,1.69046497344971
"Zimbabwe",1990,-0.0438003018498421,"ZWE",3.99618005752564,3.17094492912292,0.0062623000703752,0.00283339992165566,5,4.02838277816772,-0.0412679985165596,-0.0190038997679949,-1.45775198936462,-0.469287097454071,20.9584102630615,2.37218689918518,4.13214015960693,1.61641299724579
